ANTIOQUIA;AMALFI;CONCEJO;PARTIDO CAMBIO RADICAL;1.443;21,09%;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;2.147;27,33%
ANTIOQUIA;AMALFI;CONCEJO;PARTIDO DE LA U;1.374;20,08%;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1.063;13,53%
ANTIOQUIA;AMALFI;CONCEJO;PARTIDO CONSERVADOR COLOMBIANO;1.099;16,06%;PARTIDO CENTRO DEMOCRÁTICO;1.021;13,00%
ANTIOQUIA;AMALFI;CONCEJO;PARTIDO LIBERAL COLOMBIANO;816;11,92%;PARTIDO LIBERAL COLOMBIANO;970;12,35%
ANTIOQUIA;AMALFI;CONCEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;795;11,61%;PARTIDO CAMBIO RADICAL;858;10,92%
ANTIOQUIA;AMALFI;CONCEJO;PARTIDO ALIANZA VERDE;408;5,96%;PARTIDO CONSERVADOR COLOMBIANO;587;7,47%
ANTIOQUIA;AMALFI;CONCEJO;PARTIDO OPCIÓN CIUDADANA;305;4,45%;PARTIDO ALIANZA VERDE;444;5,65%
ANTIOQUIA;AMALFI;CONCEJO;PARTIDO CENTRO DEMOCRÁTICO;219;3,20%;PARTIDO COLOMBIA JUSTA LIBRES;204;2,59%
ANTIOQUIA;AMALFI;CONCEJO;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";83;1,21%;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;138;1,75%
ANTIOQUIA;ANORI;CONCEJO;PARTIDO LIBERAL COLOMBIANO;1.499;27,06%;PARTIDO LIBERAL COLOMBIANO;2.422;37,67%
ANTIOQUIA;ANORI;CONCEJO;PARTIDO ALIANZA VERDE;1.091;19,70%;PARTIDO CONSERVADOR COLOMBIANO;1.262;19,62%
ANTIOQUIA;ANORI;CONCEJO;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA;980;17,69%;PARTIDO CAMBIO RADICAL;1030;16,02%
ANTIOQUIA;ANORI;CONCEJO;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";853;15,40%;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA AICO;1.011;15,72%
ANTIOQUIA;ANORI;CONCEJO;PARTIDO DE LA U;591;10,67%;PARTIDO ALIANZA VERDE;280;4,35%
ANTIOQUIA;ANORI;CONCEJO;PARTIDO CONSERVADOR COLOMBIANO;333;6,01%;PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMÚN FARC,;117;1,81%
ANTIOQUIA;ANORI;CONCEJO;PARTIDO CAMBIO RADICAL;116;2,09%;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;98;1,52%
ANTIOQUIA;ANORI;CONCEJO;N/A;N/A;N/A;PARTIDO COLOMBIA RENACIENTE;54;0,83%
ANTIOQUIA;ANORI;CONCEJO;N/A;N/A;N/A;MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL;40;0,62%
ANTIOQUIA;BRICEÑO;CONCEJO;PARTIDO LIBERAL COLOMBIANO;1.465;45,24%;PARTIDO LIBERAL COLOMBIANO;1.699;43,04%
ANTIOQUIA;BRICEÑO;CONCEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;669;20,66%;PARTIDO CAMBIO RADICAL;898;22,75%
ANTIOQUIA;BRICEÑO;CONCEJO;PARTIDO CONSERVADOR COLOMBIANO;497;15,34%;PARTIDO CONSERVADOR COLOMBIANO;662;16,77%
ANTIOQUIA;BRICEÑO;CONCEJO;PARTIDO CAMBIO RADICAL;209;6,45%;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;401;10,15%
ANTIOQUIA;BRICEÑO;CONCEJO;PARTIDO DE LA U;190;5,86%;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;253;6,40%
ANTIOQUIA;BRICEÑO;CONCEJO;UNIDOS POR BRICEÑO;186;5,74%;N/A;N/A;N/A
ANTIOQUIA;CACERES;CONCEJO;PARTIDO DE LA U;2.503;26,69%;PARTIDO LIBERAL COLOMBIANO;2.235;23,79%
ANTIOQUIA;CACERES;CONCEJO;PARTIDO LIBERAL COLOMBIANO;2.165;23,08%;PARTIDO ALIANZA VERDE;1.485;15,80%
ANTIOQUIA;CACERES;CONCEJO;PARTIDO ALIANZA VERDE;858;9,14%;PARTIDO CONSERVADOR COLOMBIANO;1.173;12,48%
ANTIOQUIA;CACERES;CONCEJO;PARTIDO CAMBIO RADICAL;822;8,76%;PARTIDO CENTRO DEMOCRÁTICO;1.112;11,83%
ANTIOQUIA;CACERES;CONCEJO;PARTIDO CONSERVADOR COLOMBIANO;682;7,27%;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA AICO;714;7,60%
ANTIOQUIA;CACERES;CONCEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;635;6,77%;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;695;7,39%
ANTIOQUIA;CACERES;CONCEJO;PARTIDO CENTRO DEMOCRÁTICO;591;6,30%;PARTIDO CAMBIO RADICAL;692;7,36%
ANTIOQUIA;CACERES;CONCEJO;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";521;5,55%;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;570;6,06%
ANTIOQUIA;CACERES;CONCEJO;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA;242;2,58%;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;392;4,17%
ANTIOQUIA;CACERES;CONCEJO;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;234;2,49%;MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL;183;1,94%
ANTIOQUIA;CAUCASIA;CONCEJO;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";5.180;14,77%;PARTIDO LIBERAL COLOMBIANO;5.092;14,57%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO OPCIÓN CIUDADANA;4.540;12,95%;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;4.971;14,22%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO ALIANZA VERDE;4.407;12,57%;PARTIDO CAMBIO RADICAL;4.546;13,01%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO CAMBIO RADICAL;4.069;11,60%;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;3.701;10,59%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO DE LA U;3.514;10,02%;MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL;3,28;9,38%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO LIBERAL COLOMBIANO;3.156;9,00%;PARTIDO CONSERVADOR COLOMBIANO;1.827;5,22%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO CONSERVADOR COLOMBIANO;2.440;6,96%;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA AICO;1.815;5,19%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;2.285;6,51%;"PARTIDO DE REIVINDICACIÓN ÉTNICA ""PRE""";1.774;5,07%
ANTIOQUIA;CAUCASIA;CONCEJO;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA;2.180;6,21%;PARTIDO ALIANZA VERDE;1.691;4,83%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;1.675;4,77%;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;1.503;4,30%
ANTIOQUIA;CAUCASIA;CONCEJO;PARTIDO CENTRO DEMOCRÁTICO;562;1,60%;PARTIDO CENTRO DEMOCRÁTICO;1.344;3,84%
ANTIOQUIA;CAUCASIA;CONCEJO;N/A;N/A;N/A;PARTIDO COLOMBIA RENACIENTE;766;2,19%
ANTIOQUIA;CAUCASIA;CONCEJO;N/A;N/A;N/A;PARTIDO COLOMBIA JUSTA LIBRES;711;2,03%
ANTIOQUIA;CAUCASIA;CONCEJO;N/A;N/A;N/A;PARTIDO ADA;343;0,98%
ANTIOQUIA;CAUCASIA;CONCEJO;N/A;N/A;N/A;PARTIDO POLÍTICO MIRA;240;0,68%
ANTIOQUIA;CAUCASIA;CONCEJO;N/A;N/A;N/A;PARTIDO COLOMBIA HUMANA - UNIÓN PATRIÓTICA;191;0,54%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO LIBERAL COLOMBIANO;2.730;15,61%;PARTIDO LIBERAL COLOMBIANO;2.793;15,50%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO ALIANZA VERDE;2.648;15,14%;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;2.336;12,97%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO CONSERVADOR COLOMBIANO;2.380;13,61%;PARTIDO CENTRO DEMOCRÁTICO;1.904;10,57%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO DE LA U;2.240;12,81%;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1.816;10,08%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO OPCIÓN CIUDADANA;1.795;10,26%;PARTIDO CAMBIO RADICAL;1.662;9,22%
ANTIOQUIA;EL BAGRE;CONCEJO;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA;1.530;8,75%;MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL;1.478;8,20%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO CAMBIO RADICAL;1.271;7,27%;PARTIDO ALIANZA VERDE;1.396;7,75%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;1.084;6,20%;PARTIDO CONSERVADOR COLOMBIANO;1.359;7,54%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;736;4,21%;PARTIDO POLO DEMOCRÁTICO ALTERNATIVO;1.106;6,14%
ANTIOQUIA;EL BAGRE;CONCEJO;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";492;2,81%;MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA AICO;1.013;5,62%
ANTIOQUIA;EL BAGRE;CONCEJO;PARTIDO CENTRO DEMOCRÁTICO;200;1,14%;PARTIDO COLOMBIA JUSTA LIBRES;371;2,06%
ANTIOQUIA;EL BAGRE;CONCEJO;N/A;N/A;N/A;"PARTIDO DE REIVINDICACIÓN ÉTNICA ""PRE""";234;1,29%
ANTIOQUIA;ITUANGO;CONCEJO;PARTIDO LIBERAL COLOMBIANO;1.872;35,49%;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1.341;21,78%
ANTIOQUIA;ITUANGO;CONCEJO;PARTIDO CONSERVADOR COLOMBIANO;1.168;22,14%;PARTIDO CENTRO DEMOCRÁTICO;905;14,70%
ANTIOQUIA;ITUANGO;CONCEJO;PARTIDO DE LA U;789;14,96%;PARTIDO LIBERAL COLOMBIANO;809;13,14%
ANTIOQUIA;ITUANGO;CONCEJO;PARTIDO CAMBIO RADICAL;635;12,04%;PARTIDO CAMBIO RADICAL;767;12,45%
ANTIOQUIA;ITUANGO;CONCEJO;PARTIDO ALIANZA VERDE;579;10,97%;PARTIDO CONSERVADOR COLOMBIANO;724;11,76%
ANTIOQUIA;ITUANGO;CONCEJO;N/A;N/A;N/A;COALICIÓN ITUANGO;675;10,96%
